"INCIDENT_YEAR","TIME_OF_DAY","n"
1990,"Dawn",40
1990,"Day",1017
1990,"Dusk",48
1990,"Night",418
1991,"Dawn",38
1991,"Day",1263
1991,"Dusk",76
1991,"Night",490
1992,"Dawn",78
1992,"Day",1340
1992,"Dusk",89
1992,"Night",512
1993,"Dawn",74
1993,"Day",1325
1993,"Dusk",109
1993,"Night",492
1994,"Dawn",65
1994,"Day",1355
1994,"Dusk",139
1994,"Night",482
1995,"Dawn",90
1995,"Day",1363
1995,"Dusk",113
1995,"Night",528
1996,"Dawn",97
1996,"Day",1385
1996,"Dusk",124
1996,"Night",531
1997,"Dawn",108
1997,"Day",1533
1997,"Dusk",135
1997,"Night",657
1998,"Dawn",125
1998,"Day",1646
1998,"Dusk",141
1998,"Night",713
1999,"Dawn",144
1999,"Day",1584
1999,"Dusk",146
1999,"Night",737
2000,"Dawn",155
2000,"Day",1846
2000,"Dusk",175
2000,"Night",812
2001,"Dawn",149
2001,"Day",1832
2001,"Dusk",220
2001,"Night",761
2002,"Dawn",177
2002,"Day",2024
2002,"Dusk",204
2002,"Night",879
2003,"Dawn",161
2003,"Day",2010
2003,"Dusk",203
2003,"Night",1020
2004,"Dawn",187
2004,"Day",2263
2004,"Dusk",240
2004,"Night",1013
2005,"Dawn",177
2005,"Day",2216
2005,"Dusk",189
2005,"Night",1193
2006,"Dawn",171
2006,"Day",2473
2006,"Dusk",238
2006,"Night",1356
2007,"Dawn",189
2007,"Day",2618
2007,"Dusk",260
2007,"Night",1505
2008,"Dawn",111
2008,"Day",2797
2008,"Dusk",146
2008,"Night",1493
2009,"Dawn",132
2009,"Day",3931
2009,"Dusk",150
2009,"Night",1786
2010,"Dawn",145
2010,"Day",3722
2010,"Dusk",206
2010,"Night",1701
2011,"Dawn",180
2011,"Day",3607
2011,"Dusk",214
2011,"Night",1774
2012,"Dawn",147
2012,"Day",3742
2012,"Dusk",196
2012,"Night",2023
2013,"Dawn",118
2013,"Day",3538
2013,"Dusk",175
2013,"Night",2090
2014,"Dawn",128
2014,"Day",4932
2014,"Dusk",193
2014,"Night",2308
2015,"Dawn",147
2015,"Day",4276
2015,"Dusk",221
2015,"Night",2250
2016,"Dawn",273
2016,"Day",4197
2016,"Dusk",383
2016,"Night",1898
2017,"Dawn",292
2017,"Day",4313
2017,"Dusk",317
2017,"Night",1875
2018,"Dawn",345
2018,"Day",4967
2018,"Dusk",390
2018,"Night",2582
2019,"Dawn",324
2019,"Day",4201
2019,"Dusk",402
2019,"Night",2242
2020,"Dawn",253
2020,"Day",2987
2020,"Dusk",299
2020,"Night",1277
2021,"Dawn",278
2021,"Day",4936
2021,"Dusk",418
2021,"Night",2141
2022,"Dawn",269
2022,"Day",5289
2022,"Dusk",319
2022,"Night",2591
2023,"Dawn",260
2023,"Day",5322
2023,"Dusk",376
2023,"Night",2762
